Wycliffe's Bible (1388),WYC,Middle English,1388,Latin Vulgate,
Coverdale Bible,,Early Modern English,1535,"Masoretic Text, the Greek New Testament of Erasmus, Vulgate, and German and Swiss-German Bibles (Luther Bible, Zürich Bible and Leo Jud's Bible)",First complete Bible printed in English (Early Modern English)
Matthew's Bible,,Early Modern English,1537,"Masoretic Text, the Greek New Testament of Erasmus, the Vulgate, the Luther Bible, and a French version.[which?]",
Great Bible,,Early Modern English,1539,"Masoretic Text, Greek New Testament of Erasmus, the Vulgate, and the Luther Bible.",
Taverner's Bible,,Early Modern English,1539,,Minor revision of Matthew's Bible
Bishops' Bible,,Early Modern English,1568,"Masoretic Text, Textus Receptus",
King James Version,AV or KJV,Early Modern English,1611,"Masoretic Text, Textus Receptus, Tyndale 1526 NT, some Erasmus manuscripts, and Bezae 1598 TR.",This Bible version is now Public Domain worldwide due to copyright expiration except in the United Kingdom due to crown letters patent until 2039.
Douay-Rheims Bible (Challoner Revision),,Modern English,1752,Clementine Vulgate,This Bible version is now Public Domain due to copyright expiration.
Quaker Bible,,Modern English,1764,"Masoretic Text, Textus Receptus",
Thomson's Translation,,Modern English,1808,Codex Vaticanus (according to the introduction in the reprint edition by S. F. Pells) of the Septuagint (but excluding the Apocrypha) and of the New Testament,
The Living Oracles,New Testament,Modern English,1826,"Compiled and translated by Alexander Campbell based translations by George Campbell, James MacKnight and Philip Doddridge, with reference to the 1805 critical Greek text by Johann Jakob Griesbach","Replaces traditional ecclessiastical terminology such as ""church"", ""bishop"" and ""baptise"" with alternative translations such as ""congregation"", ""overseer"" and ""immerse""."
Webster's Revision,,Modern English,1833,,Revision of the King James Version.
Brenton's English Translation of the Septuagint,Old Testament,Modern English,1844,Septuagint,
Joseph Smith Translation of the Bible,,Modern English,1844,Revision of the King James Version,"Also called ""Inspired version of the Bible"" by Mormons"
Murdock Translation of the Western Peshitto,,Modern English,1852,Western Peshitto (or Peshito),"by Dr. James Murdock. The Western Peshitto ""is virtually the same as the Eastern Peshitta, besides the addition of 2Peter, 2John, 3John, Jude and Revelation""."
Ferrar Fenton Bible,,Modern English,1853,Masoretic Text and the Westcott and Hort Greek text,
Young's Literal Translation,YLT,Modern English,1862,"Masoretic Text, Textus Receptus",This Bible version is now Public Domain due to copyright expiration.
The Emphatic Diaglott,New Testament,Modern English,1864,Greek text recension by Dr Johann Jakob Griesbach,
Julia E. Smith Parker Translation,,Modern English,1876,"Masoretic Text, Textus Receptus",
Revised Version,RV,Modern English,1885,,"Revision of the King James Version, but with a critical New Testament text: Westcott and Hort 1881 and Tregelles 1857"
Darby Bible,DBY,Modern English,1890,"Masoretic Text, various critical editions of the Greek text (i.a. Tregelles, Tischendorf, Westcott and Hort).",This Bible version is now Public Domain due to copyright expiration.
American Standard Version,ASV,Modern English,1901,"Masoretic Text, Westcott and Hort 1881 and Tregelles 1857",This version is now in the public domain due to copyright expiration.
Emphasized Bible,EBR,Modern English,1902,Translated by Joseph Bryant Rotherham based on The New Testament in the Original Greek and Christian David Ginsburg's Massoretico-critical edition of the Hebrew Bible (1894),"Uses various methods, such as ""emphatic idiom"" and special diacritical marks, to bring out nuances of the underlying Greek, Hebrew, and Aramaic texts. Public Domain due to copyright expiration."
Twentieth Century New Testament,New Testament,Modern English,1904,Greek text of Westcott and Hort.,
"James Moffatt's 'The New Testament, A New Translation'",New Testament,Modern English,1913,Greek text of Hermann von Soden,
Jewish Publication Society of America Version Tanakh (Old Testament),JPS,Modern English,1917,Masoretic Text,"The Old Testament translation is based on the Hebrew Masoretic text. It follows the edition of Seligman Baer except for the books of Exodus to Deuteronomy, which never appeared in Baer's edition. For those books, C. D. Ginsburg's Hebrew text was used. This Bible version is now Public Domain due to copyright expiration."
"Helen Barrett Montgomery, Centenary Translation of the New Testament",New Testament,Modern English,1924,,
"Moffatt, New Translation",,Modern English,1926,Greek text of Hermann von Soden,
Lamsa Bible,,Modern English,1933,Syriac Peshitta,
An American Translation,,Modern English,1935,"Masoretic Text, various[which?] Greek texts.",
Westminster Bible,,Modern English,1936,Greek and Hebrew,
Confraternity Bible,New Testament,Modern English,1941,Revision of the Challoner Revision of the Rheims New Testament.,"OT was translated in stages, with editions progressively replacing books in the Challoner revision of the Douay-Rheims; when complete, it was published in 1970 as the New American Bible"
Spencer New Testament,New Testament,Modern English,1941,Greek text,"The gospels were originally from the Vulgate, then the translation was restarted using the Greek"
Bible in English,,Modern English,1949,,
Revised Standard Version,RSV (ERV),Modern English,1952,"Masoretic Text, Nestle-Aland Greek New Testament.",
Knox's Translation of the Vulgate,,Modern English,1955,"Vulgate, with influence from the original Hebrew, Aramaic, and Greek.",
Kleist-Lilly New Testament,New Testament,Modern English,1956,,
Berkeley Version,,Modern English,1958,,
Phillips New Testament in Modern English,New Testament,Modern English,1958,,
Wuest Expanded Translation,New Testament,Modern English,1961,Nestle-Aland Text,
Children's King James Version,,Modern English,1962,Revision of the King James Version.,by Jay P. Green
Judaica Press Tanakh (Old Testament).,,Modern English,1963,Masoretic Text,
Amplified Bible,AMP,Modern English,1965,Revision of the American Standard Version,
Jerusalem Bible,JB,Modern English,1966,"From the original Hebrew, Aramaic, and Greek, with influence from the French La Bible de Jérusalem.",
Revised Standard Version Catholic Edition,RSVCE,Modern English,1966,,Revision of the Revised Standard Version.
Modern Language Bible,,Modern English,1969,,"Also called ""The New Berkeley Version"""
Bible in Worldwide English,New Testament,Modern English,1969,,
The New Life Testament,New Testament,Modern English,1969,,
New American Bible,NAB,Modern English,1970,,
New English Bible,NEB,Modern English,1970,"Masoretic Text, Greek New Testament",
King James II Version,KJ2,Modern English,1971,"Masoretic Text, Textus Receptus","by Jay P. Green, Sr."
The Living Bible,TLB,Modern English,1971,American Standard Version (paraphrase),
New American Standard Bible,NASB,Modern English,1971,"Masoretic Text, Nestle-Aland Text",
The Story Bible,,Modern English,1971,,"A summary/paraphrase, by Pearl S. Buck"
The Bible in Living English,,Modern English,1972,,
Cotton Patch Series,New Testament,Modern English,1973,,"modern Black American idiomatic, e.g. rendering Jew as white man; Gentile as negro; Ephesus as Birmingham, Alabama; Rome as Washington, DC; Jerusalem as Atlanta, Georgia"
An American Translation,,Modern English,1976,"Masoretic Text, various[which?] Greek texts.",
Good News Bible,GNB,Modern English,1976,United Bible Society (UBS) Greek text,Formerly known as Today's English Version
New International Version,NIV,Modern English,1978,"Masoretic Text, Nestle-Aland Greek New Testament (based on Westcott-Hort, Weiss and Tischendorf, 1862).",
New King James Version,NKJV,Modern English,1982,"Masoretic Text (Biblia Hebraica Stuttgartensia, 1983), Textus Receptus",
A Literal Translation of the Bible,LITV,Modern English,1985,"Masoretic Text, Textus Receptus (Estienne 1550)","by Jay P. Green, Sr."
New Jerusalem Bible,NJB,Modern English,1985,"From the original Hebrew, Aramaic, and Greek, with influence from the French La Bible de Jérusalem.",
New Jewish Publication Society of America Version. Tanakh (Old Testament),NJPS,Modern English,1985,Masoretic Text,
"Christian Community Bible, English version",,Modern English,1986,Hebrew and Greek,
New Life Version,NLV,Modern English,1986,,
Easy-to-Read Version,,Modern English,1989,"Textus Receptus, United Bible Society (UBS) Greek text, Nestle-Aland Text",
New Revised Standard Version,NRSV,Modern English,1989,,Revision of the Revised Standard Version.
Revised English Bible,REB,Modern English,1989,,Revision of the New English Bible.
God's New Covenant: A New Testament Translation,New Testament,Modern English,1989,,
McCord's New Testament Translation of the Everlasting Gospel,New Testament,Modern English,1989,,
Modern King James Version,,Modern English,1990,"Masoretic Text, Textus Receptus","by Jay P. Green, Sr."
New Century Version,NCV,Modern English,1991,,
The Unvarnished New Testament,New Testament,Modern English,1991,,
Clear Word Bible,,Modern English,1994,,
"Leeser Bible, Tanakh (Old Testament)",,Modern English,1994,Masoretic Text,
The Living Torah and The Living Nach. Tanakh (Old Testament),,Modern English,1994,Masoretic Text,
Contemporary English Version,CEV,Modern English,1995,,
God's Word,GW,Modern English,1995,,
ArtScroll Tanakh (Old Testament),,Modern English,1996,Masoretic Text,
New International Version Inclusive Language Edition,,Modern English,1996,Revision of the New International Version.,
New Living Translation,NLT,Modern English,1996,,
Complete Jewish Bible,CJB,Modern English,1998,"Paraphrase of the Jewish Publication Society of America Version (Old Testament), and from Greek (New Testament) text.",
New International Reader's Version,NiRV,Modern English,1998,,"New International Version (simplified syntax, but loss of conjunctions obscures meanings)"
Third Millennium Bible,,Modern English,1998,,Revision of the King James Version.
Third Millennium Bible (The New Authorized Version),"New Testament, Old Testament, Apocrypha.",Modern English,1998,Revision of the King James Version.,
American King James Version,AKJV,Modern English,1999,Revision of the King James Version,This version has been dedicated to the Public Domain by Michael Peter (Stone) Engelbrite.
The Common Edition New Testament,New Testament,Modern English,1999,,
English Jubilee 2000 Bible,,Modern English,2000,,
King James 2000 Version,,Modern English,2000,Revision of the King James Version.,
EasyEnglish Bible,,Modern English,2001,Wycliffe Associates (UK),
English Standard Version,ESV,Modern English,2001,"Revision of the Revised Standard Version. (Westcott-Hort, Weiss, Tischendorf Greek texts)",
The Message,MSG,Modern English,2002,,A fresh translation/paraphrase into contemporary language and idiom by Eugene Peterson.
The Orthodox Jewish Bible,OJB,Modern English,2002,,
A Voice In The Wilderness Holy Scriptures,,Modern English,2003,"Masoretic Text, Textus Receptus",
Hebraic Roots Version,,English & Hebrew Names,2004,"Hebrew Masoretic Text, Hebrew and Aramaic New Testament sources.","The Hebraic Roots Version Scriptures is a translation of the Tanakh/Old Testament from the Hebrew Masoretic Text. Revised from the public domain JPS 1917 edition, and placed together with a revised edition of the Hebrew Roots New Testament (based on Hebrew and Aramaic sources) each with useful footnotes, and an informative preface to the whole work."
Holman Christian Standard Bible,HCSB,Modern English,2004,"Masoretic Text, Nestle-Aland Text.",
Updated King James Version,,Modern English,2004,,
The Beloved and I: New Jubilees Version of the Sacred Scriptures in Verse,,Modern English,2005,,
Dabhar Translation,,Modern English,2005,"Masoretic Text, Codex Sinaiticus",
New English Translation (NET Bible),NET,Modern English,2005,"Masoretic Text, Nestle-Aland/United Bible Society Greek New Testament",
Today's New International Version,TNIV,Modern English,2005,"Masoretic Text (Biblia Hebraica Stuttgartensia, 1983), Nestle-Aland Greek text",Revision of the New International Version.
The Inclusive Bible,,Modern English,2007,"From the original Hebrew, Aramaic, and Greek",
The Orthodox Study Bible,OSB,Modern English,2008,Adds a new translation of the LXX to an existing translation of the NKJV in a single volume.,
The Comprehensive New Testament,New Testament,Modern English,2008,English Translation of the Nestle Aland 27th Edition of the Greek New Testament,
The Voice,New Testament,Modern English,2008,,"""A Scripture project to rediscover the story of the Bible"" (ISBN 1-4185-3439-0)"
Catholic Public Domain Version,,Modern English,2009,Sixtus V and Clement VIII Latin Vulgate,"by Ronald L. Conte Jr., in the public domain"
HalleluYah Scriptures,,English & Paleo Hebrew Names,2009,"Masoretic, DSS, Majority Text, Aramaic Peshitta.",Free Restored Name Scriptures
King James Easy Reading Version,,Modern English,2010,Revision of the King James Version. Textus Receptus.,King's Word Press. GEM Publishing.
New American Bible Revised Edition,NABRE,Modern English,2010,,
The Work of God's Children Illustrated Bible,,Modern English,2010,Revision of the Challoner Revision of the Douay-Rheims Bible.,Released into the public domain by The Work of God's Children (nonprofit corporation)
Lexham English Bible,"New Testament, with Old Testament in translation",Modern English,2010,SBL Greek New Testament,
Common English Bible,CEB,Modern English,2011,,
Divine Name King James Bible,DNKJB,Early Modern English,2011,"Masoretic Text, Textus Receptus","Authorized King James Version which restores the Divine Name, Jehovah to the original text in 6,972 places."
International Standard Version,ISV,Modern English,2011,,
The Fresh Agreement: God's Contract with Humanity,New Testament,Modern American English,2011,3rd edition of Robert Etienne (1550) with several modifications when warranted by manuscript evidence,The Fresh Agreement brings the range and specificity of the modern vocabulary to the traditional Greek text.
The Kingdom New Testament: A Contemporary Translation,New Testament,Modern English,2011,Eclectic Greek,By NT Wright.[4] (ISBN 978-0-06-206491-2)
The Voice Bible,VOICE,Modern English,2012,,"""The heart of the project is retelling the story of the Bible in a form as fluid as modern literary works while remaining painstakingly true to the original Greek, Hebrew, and Aramaic texts."" (ISBN 1401680313)"
A Conservative Version,New Testament,Modern English,2012,,
New Messianic Version Website,NMV,Modern English,2013,,"Maintains Jewish context of the entire Bible, using Hebrew names for God and Jesus, and translating Hebrew names of people and places"
Modern English Version,MEV,Modern English,2014,"Masoretic Text, Textus Receptus",Revision of the King James Version
Tree of Life Bible,TLV,Modern English,2014,"Masoretic Text, the 27th Nestle-Aland Novum Testamentum Graece","The Old Testament translation is based on the Hebrew Masoretic text. It follows the edition of Seligman Baer except for the books of Exodus to Deuteronomy, which never appeared in Baer's edition. For those books, C. D. Ginsburg's Hebrew text was used."
Names of God Bible,NOG,Modern English (GW) & Early Modern English (KJV),2011-2014,"GW edition: NT: Nestle-Aland Greek New Testament 27th edition. OT: Biblia Hebraica Stuttgartensia. KJV edition: OT: Masoretic Text, NT: Textus Receptus.","By Ann Spangler, The Names of God Bible restores the transliterations of ancient names—such as Yahweh, El Shadday, El Elyon, and Adonay—to help the reader better understand the rich meaning of God’s names that are found in the original Hebrew and Aramaic text."
William Caxton,Various[which?] passages,Middle English,1483 (Golden Legend) 1484 (The Book of the Knight of the Tower),A French translation[which?],
Tyndale Bible,,Early Modern English,"1526, revised 1534 (New Testament) 1530 (Pentateuch)","Masoretic Text, Erasmus' third NT edition (1522), Martin Luther's 1522 German Bible.",Incomplete translation. Tyndale's other Old Testament work went into the Matthew's Bible (1537).
Geneva Bible,,Early Modern English,1557 (New Testament) 1560 (complete Bible),"Masoretic Text, Textus Receptus",First English Bible with whole of Old Testament translated direct from Hebrew texts
Douay–Rheims Bible,,Early Modern English,1582 (New Testament),1609–1610 (Old Testament),"Latin, Greek and Hebrew manuscripts. This work is now Public Domain."
"Five Pauline Epistles, A New Translation",New Testament,Modern English,1908 (combined in one volume in 1984),,"Epistles of Romans, 1st and 2nd Corinthians, and 1st and 2nd Thessalonians, by Scottish scholar William Gunion Rutherford"
Concordant Literal Version,,Modern English,"1926. Rev. 1931, 1966","Restored Greek syntax. A concordance of every form of every Greek word was made and systematized and turned into English. The whole Greek vocabulary was analyzed and translated, using a standard English equivalent for each Greek element.",
New World Translation of the Holy Scriptures,NWT,Modern English,1950 (New Testament) 1960 (single volume complete Bible) 1984 (reference edition with footnotes) 2013 (revised),"Westcott and Hort's Greek New Testament, Nestle-Aland Greek New Testament, Hebrew J documents, as well as various other families of Hebrew and Greek manuscripts",
The New Testament translated by Richmond Lattimore,New Testament,Modern English,1962–1982 (Compiled in one volume in 1996) Wescott-Hort Text,By Richmond Lattimore. (ISBN 978-0865474994),
Grail Psalms,Book of Psalms,Modern English,1963 (revised 2008),French La Bible de Jérusalem,Translated according to the principles of Gelineau psalmody. Used for liturgical worship by the Catholic Church.
Recovery Version of the Bible,,Modern English,"1985 (NT w/ footnotes, revised 1991) 1993 (NT, text only) 1999 (single volume complete Bible, text only) 2003 (single volume complete Bible w/ footnotes)","OT: Biblia Hebraica Stuttgartensia (BHS; revised 1990 edition). NT: Novum Testamentum Graece (Nestle-Aland Greek New Testament, 26th edition)",A study Bible with a modern English translation of the Scriptures from their original languages. Comparable to the English Standard Version and the New American Standard Bible.
The Scriptures,,Modern English & Hebrew (Divine Names),"1993, revised 1998 & revised 2009","Masoretic Text (Biblia Hebraica), Textus Receptus Greek text",Popular Messianic Translation by the Institute for Scripture Research
The Beloved and I,,English Verse,2005+,,New Jubilees version of the Bible in English Verse by Thomas McElwain. Four volumes.
Aramaic English New Testament,New Testament,Modern English & Hebrew (Divine names),2008-2012,Aramaic New Testament texts,"A literal translation of the oldest known Aramaic New Testament texts. This is a study Bible with over 2000 footnotes and 360 pages of appendixes to help the reader understand the poetry, idioms, terms and definitions in the language of Jesus (referred to as Y'shua in the text) and his followers. The Aramaic is featured with Hebrew letters and vowel pointing.[promotional language]"
The Open English Bible,New Testament,Modern English,2010 (Work in Progress),"Twentieth Century New Testament (English), Wescott-Hort (Greek), Leningrad Codex (Hebrew)","Aiming to be the first modern public domain translation, with the NT edited from the public domain Twentieth Century New Testament and the OT newly translated."
Caedmon manuscript,A few English Bible verses,Old English,700 to 1000,Vulgate,
Aldred the Scribe,Northumbrian interlinear gloss on the Gospels in the Lindisfarne Gospels,Old English,950 to 970,Vulgate,
Farman,Gloss on the Gospel of Matthew in the Rushworth Gospels,Old English,950 to 970,Vulgate,
"Psalters (12 in total), including the Vespasian Psalter and Eadwine Psalter",English glosses of Latin psalters,,9th century,Vulgate,
The Ormulum,Some[which?] passages from the Gospels and the Acts of the Apostles,Middle English,c. 1150,Vulgate,
"Geoffrey Chaucer, ""The Parson's Tale"", in The Canterbury Tales",Many Bible verses,Middle English,c. 1400,Vulgate,
A Fourteenth Century Biblical Version: Consisting of a Prologue and Parts of the New Testament,New Testament,Middle English,c. 1400,Vulgate,
Life of Soul,Majority of text consists of Biblical quotations,Middle English,c. 1400,Vulgate,
"Nicholas Love, OCart, The Mirror of the Blessed Life of Jesus Christ",Gospels paraphrased,Middle English,c. 1410 (printed 6 times before 1535),"Johannes de Caulibus, OFM [possible author], Meditationes Vitae Christi (in Latin)",
Bede,Gospel of John (lost),Old English,c. 735,Vulgate,
King Alfred,"Pentateuch, including the Ten Commandments; possibly also the Psalms",Old English,c. 900,Vulgate,
Ælfric,"Pentateuch, Book of Joshua, Judges",Old English,c. 990,Vulgate,
Wessex Gospels,Gospels,Old English,c. 990,Old Latin,
Two Nineteenth Century Versions of the New Testament,New Testament,Modern English,Compiled by D. P. Ryan 1995,Various manuscripts and critical editions of the Greek text.,"""Translated by JND and by WK with Comments on Text and Translation from the Works of William Kelly of Blackheath"" (ISBN 0-9640037-9-1)"
A translation of Revelation[citation needed],Book of Revelation,Middle English,Early 14th century,A French translation[which?],
Rolle,"Various[which?] passages, including some[which?] of the Psalms",Middle English,Early 14th century,Vulgate,
West Midland Psalms,Psalms,Middle English,Early 14th century,Vulgate,
World English Bible,WEB,Modern English,In progress,"The World English Bible (WEB) is a Public Domain (no copyright) Modern English translation of the Holy Bible. That means that you may freely copy it in any form, including electronic and print formats. The World English Bible is based on the American Standard Version of the Holy Bible first published in 1901, the Biblia Hebraica Stutgartensa Old Testament, and the Greek Majority Text New Testament. It is in draft form, and currently being edited for accuracy and readability.","Released into the public domain by Rainbow Missions, Inc. (nonprofit corporation)"
Messianic Aleph Tav Scriptures,MATS,Modern English & Hebrew (Divine Names),In progress,"Hebrew Masoretic Text, Hebrew and Aramaic New Testament sources.","The Messianic Aleph Tav Scriptures ?? (MATS) is a study bible which focuses on the study of the Aleph Tav character symbol used throughout the old testament (Tanakh) by both Moses and the Prophets and is the most exhaustive and unique rendition of its kind in the world. Over 5 years in the making, this English rendition reveals every place the Hebrew Aleph Tav symbol was used as a ""free standing"" character symbol believed to express the ""strength of the covenant"" in its original meaning."
Aldhelm,Psalms (existence disputed),Old English,late 7th or early 8th centuries,Vulgate,
World English Bible & World Messianic Bible,"New Testament, Psalms & Proverbs available in print. Old Testament work in progress for Hebrew Names Version but entire WEB Bible available in print.",Modern English,2016,Majority Text,"New Testament, Psalms & Proverbs available in hard copy, printed format. Printed Old Testament in progress for HNV but entire WEB is available in print and online & Complete HNV Bibles available online. Released into the Public domain by Rainbow Missions, Inc."
Simplified English Bible,,Modern English.,2016,,
